epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.4,1.54254,2.65934,1.40694,0.54406,0.57716,0.53341,0.27848,1.5671,1.74302,1.43412,0.00333052,0.00333052,0.00333052
2,533.629,1.53327,1.90599,1.39305,0.5554,0.56419,0.55065,0.27416,1.64103,1.56944,1.49834,0.00660102,0.00660102,0.00660102
3,763.481,1.60486,1.75141,1.44854,0.55127,0.5092,0.50065,0.23618,1.72885,1.76675,1.63058,0.00980867,0.00980867,0.00980867
4,997.807,1.63929,1.69815,1.47984,0.60774,0.56979,0.57376,0.29589,1.66258,1.42069,1.53819,0.00971714,0.00971714,0.00971714
5,1234,1.57356,1.53659,1.44267,0.66582,0.61222,0.6303,0.34622,1.61778,1.30161,1.50586,0.00962286,0.00962286,0.00962286
6,1470.12,1.52856,1.43684,1.40841,0.72222,0.64816,0.70557,0.39057,1.5662,1.15873,1.46672,0.00952857,0.00952857,0.00952857
7,1705.96,1.48895,1.35385,1.38617,0.73826,0.66575,0.73617,0.4164,1.53464,1.12405,1.44069,0.00943429,0.00943429,0.00943429
8,1940.51,1.45851,1.28149,1.35662,0.76069,0.71612,0.76862,0.43926,1.50155,1.00668,1.40758,0.00934,0.00934,0.00934
9,2174.86,1.43332,1.23051,1.34413,0.79353,0.73147,0.79467,0.46349,1.46845,0.98198,1.38679,0.00924571,0.00924571,0.00924571
10,2409.3,1.4127,1.17325,1.33036,0.81819,0.73713,0.81917,0.48279,1.4547,0.93551,1.37025,0.00915143,0.00915143,0.00915143
11,2643.65,1.39591,1.14345,1.31204,0.80764,0.7518,0.81735,0.49104,1.44961,0.9208,1.36484,0.00905714,0.00905714,0.00905714
12,2876.96,1.37768,1.12233,1.30717,0.79981,0.774,0.82966,0.50211,1.42275,0.89229,1.35147,0.00896286,0.00896286,0.00896286
13,3106.37,1.35895,1.08985,1.29576,0.83774,0.78501,0.85399,0.53138,1.40917,0.84305,1.3399,0.00886857,0.00886857,0.00886857
14,3334.25,1.34602,1.06879,1.28513,0.82967,0.79057,0.86047,0.53566,1.39257,0.82944,1.32865,0.00877429,0.00877429,0.00877429
